FechaObservacion,Departamento,ValorObservado
2005-03-04,LA GUAJIRA,0.0
2005-03-05,ANTIOQUIA,0.2
2005-03-05,LA GUAJIRA,10.1
2005-03-06,ANTIOQUIA,1.5
2005-03-06,LA GUAJIRA,8.1
2005-03-07,ANTIOQUIA,0.0
2005-03-07,LA GUAJIRA,3.0
2005-03-08,ANTIOQUIA,5.999999999999999
2005-03-08,LA GUAJIRA,0.0
2005-03-09,ANTIOQUIA,28.799999999999997
2005-03-09,LA GUAJIRA,0.0
2005-03-10,ANTIOQUIA,0.55
2005-03-10,LA GUAJIRA,0.0
2005-03-11,ANTIOQUIA,0.0
2005-03-11,LA GUAJIRA,0.0
2005-03-12,ANTIOQUIA,14.399999999999999
2005-03-12,LA GUAJIRA,0.0
2005-03-13,ANTIOQUIA,68.85
2005-03-13,LA GUAJIRA,4.500000000000001
2005-03-14,ANTIOQUIA,8.799999999999999
2005-03-14,LA GUAJIRA,0.5
2005-03-15,ANTIOQUIA,1.7000000000000002
2005-03-15,LA GUAJIRA,7.899999999999999
2005-03-16,ANTIOQUIA,4.3999999999999995
2005-03-16,LA GUAJIRA,2.6000000000000005
2005-03-17,ANTIOQUIA,4.8
2005-03-17,LA GUAJIRA,2.9
2005-03-18,ANTIOQUIA,27.650000000000006
2005-03-18,LA GUAJIRA,0.0
2005-03-19,ANTIOQUIA,17.85
2005-03-19,LA GUAJIRA,0.1
2005-03-20,ANTIOQUIA,0.30000000000000004
2005-03-20,LA GUAJIRA,0.0
2005-03-21,ANTIOQUIA,39.149999999999984
2005-03-21,LA GUAJIRA,3.000000000000001
2005-03-22,ANTIOQUIA,1.1500000000000001
2005-03-22,LA GUAJIRA,0.8999999999999999
2005-03-23,ANTIOQUIA,0.75
2005-03-23,LA GUAJIRA,0.2
2005-03-24,ANTIOQUIA,0.05
2005-03-24,LA GUAJIRA,0.0
2005-03-25,ANTIOQUIA,0.0
2005-03-25,LA GUAJIRA,2.2
2005-03-26,ANTIOQUIA,10.15
2005-03-26,LA GUAJIRA,0.1
2005-03-27,ANTIOQUIA,18.15000000000001
2005-03-27,LA GUAJIRA,0.7999999999999999
2005-03-28,ANTIOQUIA,20.799999999999997
2005-03-28,LA GUAJIRA,11.299999999999999
2005-03-29,ANTIOQUIA,31.500000000000007
2005-03-29,LA GUAJIRA,0.1
2005-03-30,ANTIOQUIA,0.8500000000000001
2005-03-30,LA GUAJIRA,0.0
2005-03-31,ANTIOQUIA,0.1
2005-03-31,LA GUAJIRA,0.0
2005-04-01,ANTIOQUIA,3.3000000000000003
2005-04-01,LA GUAJIRA,0.0
2005-04-02,ANTIOQUIA,30.450000000000003
2005-04-02,LA GUAJIRA,1.5000000000000002
2005-04-03,ANTIOQUIA,1.85
